Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 1.733, y: -0.383371, yaw: -0.211946, Linear Velocity: 0.0661672, Angular Velocity: 0.5
Published Odometry - x: 1.92852, y: -0.425443, yaw: -0.256347, Linear Velocity: 2, Angular Velocity: -0.444009
Published Odometry - x: 1.91553, y: -0.422039, yaw: -0.206347, Linear Velocity: -0.134248, Angular Velocity: 0.5
Published Odometry - x: 2.11129, y: -0.463016, yaw: -0.249392, Linear Velocity: 2, Angular Velocity: -0.430453
Published Odometry - x: 2.11535, y: -0.464051, yaw: -0.199392, Linear Velocity: 0.0419224, Angular Velocity: 0.5
Published Odometry - x: 2.31139, y: -0.503666, yaw: -0.241732, Linear Velocity: 2, Angular Velocity: -0.423401
Published Odometry - x: 2.33274, y: -0.50893, yaw: -0.191732, Linear Velocity: 0.21989, Angular Velocity: 0.5
Published Odometry - x: 2.52908, y: -0.547042, yaw: -0.235607, Linear Velocity: 2, Angular Velocity: -0.438753
Published Odometry - x: 2.57031, y: -0.556942, yaw: -0.185607, Linear Velocity: 0.424106, Angular Velocity: 0.5
Published Odometry - x: 2.76688, y: -0.59385, yaw: -0.229397, Linear Velocity: 2, Angular Velocity: -0.437901
Published Odometry - x: 2.78486, y: -0.59805, yaw: -0.179397, Linear Velocity: 0.184688, Angular Velocity: 0.5
Published Odometry - x: 2.98165, y: -0.633737, yaw: -0.223306, Linear Velocity: 2, Angular Velocity: -0.439083
Published Odometry - x: 3.01466, y: -0.641233, yaw: -0.173306, Linear Velocity: 0.338474, Angular Velocity: 0.5
Published Odometry - x: 3.21167, y: -0.675721, yaw: -0.219042, Linear Velocity: 2, Angular Velocity: -0.457368
Published Odometry - x: 3.2666, y: -0.687951, yaw: -0.169042, Linear Velocity: 0.562841, Angular Velocity: 0.5
Published Odometry - x: 3.46375, y: -0.721599, yaw: -0.215787, Linear Velocity: 2, Angular Velocity: -0.467444
Published Odometry - x: 3.49474, y: -0.72839, yaw: -0.165787, Linear Velocity: 0.317185, Angular Velocity: 0.5
Published Odometry - x: 3.69199, y: -0.761396, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.482237
Published Odometry - x: 3.73763, y: -0.771314, yaw: -0.164011, Linear Velocity: 0.466978, Angular Velocity: 0.5
Published Odometry - x: 3.93494, y: -0.803969, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 4.00164, y: -0.818465, yaw: -0.164011, Linear Velocity: 0.682561, Angular Velocity: 0.5
Published Odometry - x: 4.19896, y: -0.85112, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 4.24114, y: -0.860289, yaw: -0.164011, Linear Velocity: 0.431688, Angular Velocity: 0.5
Published Odometry - x: 4.43846, y: -0.892944, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 4.49501, y: -0.905234, yaw: -0.164011, Linear Velocity: 0.578679, Angular Velocity: 0.5
Published Odometry - x: 4.69232, y: -0.937889, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 4.76967, y: -0.954699, yaw: -0.164011, Linear Velocity: 0.791513, Angular Velocity: 0.5
Published Odometry - x: 4.96698, y: -0.987355, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 5.01999, y: -0.998875, yaw: -0.164011, Linear Velocity: 0.542429, Angular Velocity: 0.5
Published Odometry - x: 5.21731, y: -1.03153, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 5.28378, y: -1.04598, yaw: -0.164011, Linear Velocity: 0.680224, Angular Velocity: 0.5
Published Odometry - x: 5.48109, y: -1.07863, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 5.52818, y: -1.08887, yaw: -0.164011, Linear Velocity: 0.481892, Angular Velocity: 0.5
Published Odometry - x: 5.7255, y: -1.12152, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 5.75247, y: -1.12738, yaw: -0.164011, Linear Velocity: 0.275976, Angular Velocity: 0.5
Published Odometry - x: 5.94978, y: -1.16004, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 5.95918, y: -1.16208, yaw: -0.164011, Linear Velocity: 0.0961812, Angular Velocity: 0.5
Published Odometry - x: 6.1565, y: -1.19474, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 6.15103, y: -1.19355, yaw: -0.164011, Linear Velocity: -0.0559883, Angular Velocity: 0.5
Published Odometry - x: 6.34834, y: -1.2262, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 6.33054, y: -1.22233, yaw: -0.164011, Linear Velocity: -0.182141, Angular Velocity: 0.5
Published Odometry - x: 6.52786, y: -1.25499, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 6.50012, y: -1.24896, yaw: -0.164011, Linear Velocity: -0.283865, Angular Velocity: 0.5
Published Odometry - x: 6.69744, y: -1.28162, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 6.66201, y: -1.27392, yaw: -0.164011, Linear Velocity: -0.362574, Angular Velocity: 0.5
Published Odometry - x: 6.85932, y: -1.30657, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 6.81834, y: -1.29766, yaw: -0.164011, Linear Velocity: -0.419436, Angular Velocity: 0.5
Published Odometry - x: 7.01565, y: -1.33032, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 6.97116, y: -1.32065, yaw: -0.164011, Linear Velocity: -0.45531, Angular Velocity: 0.5
Published Odometry - x: 7.16848, y: -1.3533, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 7.12248, y: -1.34331, yaw: -0.164011, Linear Velocity: -0.470716, Angular Velocity: 0.5
Published Odometry - x: 7.31979, y: -1.37596, yaw: -0.214011, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 7.27424, y: -1.36606, yaw: -0.164011, Linear Velocity: -0.466151, Angular Velocity: 0.5
Published Odometry - x: 7.47156, y: -1.39872, yaw: -0.210391, Linear Velocity: 2, Angular Velocity: -0.463801
Published Odometry - x: 7.42834, y: -1.38949, yaw: -0.160391, Linear Velocity: -0.441938, Angular Velocity: 0.5
Published Odometry - x: 7.62577, y: -1.42143, yaw: -0.201195, Linear Velocity: 2, Angular Velocity: -0.40804
Published Odometry - x: 7.58671, y: -1.41346, yaw: -0.151195, Linear Velocity: -0.39865, Angular Velocity: 0.5
Published Odometry - x: 7.78443, y: -1.44358, yaw: -0.18671, Linear Velocity: 2, Angular Velocity: -0.355151
Published Odometry - x: 7.75133, y: -1.43733, yaw: -0.13671, Linear Velocity: -0.336838, Angular Velocity: 0.5
Published Odometry - x: 7.94947, y: -1.46459, yaw: -0.167805, Linear Velocity: 2, Angular Velocity: -0.310953
Published Odometry - x: 7.92413, y: -1.4603, yaw: -0.117805, Linear Velocity: -0.256966, Angular Velocity: 0.5
Published Odometry - x: 8.12274, y: -1.4838, yaw: -0.145784, Linear Velocity: 2, Angular Velocity: -0.279792
Published Odometry - x: 8.107, y: -1.48149, yaw: -0.0957843, Linear Velocity: -0.159131, Angular Velocity: 0.5
Published Odometry - x: 8.30608, y: -1.50062, yaw: -0.122183, Linear Velocity: 2, Angular Velocity: -0.263989
Published Odometry - x: 8.30183, y: -1.5001, yaw: -0.0721832, Linear Velocity: -0.0428376, Angular Velocity: 0.5
Published Odometry - x: 8.50131, y: -1.51452, yaw: -0.0987747, Linear Velocity: 2, Angular Velocity: -0.265916
Published Odometry - x: 8.51055, y: -1.51544, yaw: -0.0487747, Linear Velocity: 0.0928553, Angular Velocity: 0.5
Published Odometry - x: 8.71031, y: -1.52519, yaw: -0.0774141, Linear Velocity: 2, Angular Velocity: -0.286394
Published Odometry - x: 8.73517, y: -1.52712, yaw: -0.0274141, Linear Velocity: 0.249281, Angular Velocity: 0.5
Published Odometry - x: 8.93509, y: -1.5326, yaw: -0.0598117, Linear Velocity: 2, Angular Velocity: -0.323976
Published Odometry - x: 8.97784, y: -1.53516, yaw: -0.00981172, Linear Velocity: 0.428299, Angular Velocity: 0.5
Published Odometry - x: 9.17783, y: -1.53712, yaw: -0.0474032, Linear Velocity: 2, Angular Velocity: -0.375914
Published Odometry - x: 9.241, y: -1.54012, yaw: 0.00259685, Linear Velocity: 0.632336, Angular Velocity: 0.5
Published Odometry - x: 9.441, y: -1.5396, yaw: -0.0410621, Linear Velocity: 2, Angular Velocity: -0.43659
Published Odometry - x: 9.52736, y: -1.54315, yaw: 0.00893788, Linear Velocity: 0.864338, Angular Velocity: 0.5
Published Odometry - x: 9.72735, y: -1.54136, yaw: -0.0410621, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 9.84002, y: -1.54599, yaw: 0.00893788, Linear Velocity: 1.12771, Angular Velocity: 0.5
Published Odometry - x: 10.04, y: -1.5442, yaw: -0.0410621, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 10.1825, y: -1.55006, yaw: 0.00893788, Linear Velocity: 1.42624, Angular Velocity: 0.5
Published Odometry - x: 10.3825, y: -1.54827, yaw: -0.0410621, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 10.5587, y: -1.5555, yaw: 0.00893788, Linear Velocity: 1.76301, Angular Velocity: 0.5
Published Odometry - x: 10.7587, y: -1.55372, yaw: -0.0410621, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 10.9585, y: -1.56193, yaw: 0.00893788, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 11.1585, y: -1.56014, yaw: -0.0410621, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 11.3583, y: -1.56835, yaw: 0.00893788, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 11.5583, y: -1.56656, yaw: -0.0410621, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 11.7581, y: -1.57477, yaw: 0.00684372, Linear Velocity: 2, Angular Velocity: 0.479058
Published Odometry - x: 11.9581, y: -1.5734, yaw: -0.0431563, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 12.1579, y: -1.58203, yaw: 0.00173114, Linear Velocity: 2, Angular Velocity: 0.448874
Published Odometry - x: 12.3579, y: -1.58169, yaw: -0.0482689, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 12.5577, y: -1.59134, yaw: -0.00526317, Linear Velocity: 2, Angular Velocity: 0.430057
Published Odometry - x: 12.7577, y: -1.59239, yaw: -0.0552632, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 12.9574, y: -1.60344, yaw: -0.01286, Linear Velocity: 2, Angular Velocity: 0.424032
Published Odometry - x: 13.1574, y: -1.60601, yaw: -0.06286, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 13.357, y: -1.61857, yaw: -0.0199536, Linear Velocity: 2, Angular Velocity: 0.429064
Published Odometry - x: 13.557, y: -1.62256, yaw: -0.0699536, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 13.7565, y: -1.63654, yaw: -0.0257213, Linear Velocity: 2, Angular Velocity: 0.442323
Published Odometry - x: 13.9564, y: -1.64168, yaw: -0.0757213, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 14.1558, y: -1.65681, yaw: -0.029615, Linear Velocity: 2, Angular Velocity: 0.461063
Published Odometry - x: 14.3557, y: -1.66274, yaw: -0.079615, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 14.5551, y: -1.67864, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.483882
Published Odometry - x: 14.755, y: -1.68489, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 14.9543, y: -1.70111, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 15.1542, y: -1.70736, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 15.3536, y: -1.72359, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 15.5535, y: -1.72983, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 15.7528, y: -1.74606, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 15.9527, y: -1.7523, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 16.1521, y: -1.76853, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 16.352, y: -1.77477, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 16.5513, y: -1.791, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 16.7512, y: -1.79725, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 16.9506, y: -1.81347, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 17.1505, y: -1.81972, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 17.3498, y: -1.83595, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 17.5497, y: -1.84219, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 17.749, y: -1.85842, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 17.9489, y: -1.86466, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 18.1483, y: -1.88089, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 18.3482, y: -1.88713, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 18.5475, y: -1.90336, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 18.7474, y: -1.90961, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 18.9468, y: -1.92583, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 19.1467, y: -1.93208, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 19.346, y: -1.94831, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 19.5459, y: -1.95455, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 19.7453, y: -1.97078, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 19.9452, y: -1.97702, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 20.1445, y: -1.99325, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 20.3444, y: -1.99949, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 20.5437, y: -2.01572, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 20.7436, y: -2.02196, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 20.943, y: -2.03819, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 21.1429, y: -2.04444, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 21.3422, y: -2.06066, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 21.5421, y: -2.06691, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 21.7415, y: -2.08314, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 21.9414, y: -2.08938, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 22.1407, y: -2.10561, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 22.3406, y: -2.11185, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 22.54, y: -2.12808, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 22.7399, y: -2.13432, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 22.9392, y: -2.15055, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 23.1391, y: -2.1568, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 23.3384, y: -2.17302, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 23.5384, y: -2.17927, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 23.7377, y: -2.1955, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 23.9376, y: -2.20174, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 24.1369, y: -2.21797, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 24.3368, y: -2.22421, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 24.5362, y: -2.24044, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 24.7361, y: -2.24668, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 24.9354, y: -2.26291, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 25.1353, y: -2.26916, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 25.3347, y: -2.28538, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 25.5346, y: -2.29163, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 25.7339, y: -2.30785, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 25.9338, y: -2.3141, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 26.1332, y: -2.33033, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 26.3331, y: -2.33657, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 26.5324, y: -2.3528, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 26.7323, y: -2.35904, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 26.9316, y: -2.37527, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 27.1315, y: -2.38151, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 27.3309, y: -2.39774, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 27.5308, y: -2.40399, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 27.7301, y: -2.42021, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 27.93, y: -2.42646, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 28.1294, y: -2.44269, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 28.3293, y: -2.44893, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 28.5286, y: -2.46516, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 28.7285, y: -2.4714, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 28.9279, y: -2.48763, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 29.1278, y: -2.49387, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 29.3271, y: -2.5101, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 29.527, y: -2.51635, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 29.7263, y: -2.53257, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 29.9262, y: -2.53882, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 30.1256, y: -2.55504, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 30.3255, y: -2.56129, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 30.5248, y: -2.57752, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 30.7247, y: -2.58376, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 30.9241, y: -2.59999, yaw: -0.0312268, Linear Velocity: 2, Angular Velocity: 0.5
Published Odometry - x: 31.124, y: -2.60623, yaw: -0.0812268, Linear Velocity: 2, Angular Velocity: -0.5
